,price,depreciation,registration_date,mileage,road_tax,deregistration_value,coe,engine_cap,curb_weight,manufactured_year,trasmission,omv,arf,power,number_of_owner,type,car_features,car_accessories,descriptions,warranty,category,status
72,"$63,800","$10,460",29-Apr-2009,"111,000 km (8k /yr)","$1,039 /yr","$15,963","$26,175","1,598 cc","1,185 kg",2008,Auto,"$31,187","$31,187",88.0 kW (118 bhp),4,Hatchback,"Features 1.6L 4 Cylinders turbocharged Engine Mated with 6 speed automatic, ABS, SRS & Keyless entry with push start. View specs of the MINI Cooper Clubman (2008-2015)","Accessories Factory fitted audio system, multi function steering wheel, reverse sensors, auto headlights, paddle shifters & Bluetooth Connectivity.",Description Pristine condition! Low mileage clocked! Full service and all wear and tear parts done up at reputable workshop with invoices! 100% loan available from 2.28% P.A! 1 to 1 exchange without cash top up! Hurry and call our friendly sales adviser for more information before it's sold! Best price guaranteed!,"This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","COE Car, Premium Ad Car, Low Mileage Car, Sgcarmart Warranty Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
73,"$60,800","$16,940",29-Dec-2015,"77,000 km (10.6k /yr)",$684 /yr,"$33,608","$62,019","1,499 cc","1,425 kg",2015,Auto,"$29,235","$27,929",100.0 kW (134 bhp),3,Luxury Sedan,"Features 1.5L turbocharged engine, 8 speed transmission, eco multi drive mode, keyless entry, auto LED/DRL headlight. View specs of the BMW 318i",Accessories Sports seats with electrical control. Multi function steering. Cruise control. All round sensors/PDC. Solar film. DRL LED headlight. LED fog light.,Description Expat owner car! Management unit! Showroom condition! No repair needed! Coming with a prosperity number! Upgraded M steering and digital dashboard display! Regular service and well maintained! Value for short term! Int rate at 2.78%! 100% or inhouse can be arrange! Call us for details or arrange for test test drive!,CategoryPARF Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
74,"$142,800","$15,810",30-Nov-2020,"26,000 km (11.2k /yr)",$684 /yr,"$63,391","$41,503","1,499 cc","1,375 kg",2020,Auto,"$36,049","$42,469",103.0 kW (138 bhp),2,Luxury Sedan,"Features BMW Satisfies Sheer Driving Enthusiasts With A Frisky Demeanor, Soothing A Sweet Turbocharged Blended With A Nice 7 Speed DCT Giving Head Tuner Drive. View specs of the BMW 2 Series Gran Coupe","Accessories M-Sport Kit, BMW Connected Drive,Concierge Service, Car Play Ent, BMW Advance Cam,Comfort Access,M Steering,Bucket Seat, Kick Boot,Keyless Entry/Start","Description This Gran Coupe F44 Has Remarkably & Tastefully Done Up With Loaded Of M Sport Goodies, 18Inch Tommi Wheels With PS5 Setting, AP BBK, Quad Exhaust Tip, Excellent Driver Focussed, Yet Arguably Stylish And Aggressive Stealth Design With A Respectable Saloon, Come With Warranty By Performance Motor,100% Zero Accident. We Offer High Trade In/ In House Loan Available, Call Us Today For Viewing Now","CategoryPARF Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
75,"$83,800","$11,590",29-Nov-2019,"47,000 km (14.2k /yr)",$738 /yr,"$30,882","$32,000","1,591 cc","1,345 kg",2019,Auto,"$12,654","$12,654",93.8 kW (125 bhp),1,Mid-Sized Sedan,"Features Airbags, ABS, reliable 1.6L 4 cylinder inline 16V DOHC engine, 6 speed auto, drive mode select, keyless start/stop, cruise control. View specs of the Hyundai Avante (2018-2020)","Accessories Android and Apple CarPlay system with steering controls, 15"" sports rims, leather seats, reverse camera, knockdown rear seats.","Description 1 owner only! 5 year Agent warranty! 100% accident free! Very well taken care by previous owner, excellent exterior and interior condition! Multiple loan options available to suits your need, high trade in available! Hurry and call our friendly sales adviser for more information before it's sold! Best price guaranteed! Call us to arrange for viewing now!","CategoryPARF Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
76,"$132,800","$25,170",28-Jun-2017,"45,000 km (7.8k /yr)","$1,210 /yr","$57,949","$52,000","1,997 cc","1,735 kg",2017,Auto,"$42,267","$51,174",135.0 kW (181 bhp),2,SUV,Features BMW X4 Sport Coupe Styling offer 2.0l 4 cylinder inline TwinPower turbocharged mated with 8 speed reliable transmission give a sheer driving pleasure. View specs of the BMW X4,"Accessories BMW multimedia connected drive,reverse camera,rec cam,Sunroof, idrive, navigation, electric seat memory, keyless start/entry, new tyres, led drl lamp.","Description BMW X4 coupe styling with a sleek design and strong performance, uniquely styled that sitting up high having a commanding view of the road, geniune low mileage, low depreciation, nice registration plate, recent wear and tear replace, no sticky button or door handle, in great original condition, 100% zero accident, STA welcome, we offer high trade in and flexible in house loan available, call us!","CategoryPARF Car, Premium Ad Car, Low Mileage Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
77,"$70,800","$11,840",27-Sep-2018,"46,564 km (10.4k /yr)",$738 /yr,"$25,977","$31,997","1,591 cc","1,287 kg",2018,Auto,"$11,119","$11,119",93.8 kW (125 bhp),1,Mid-Sized Sedan,"Features Responsive and efficient, 1.6L 4 cylinders inline 16 valves DOHC dual CVVT engine producing 125bhp, 6 speed auto transmission, ABS, SRS airbags. View specs of the Kia Cerato (2018-2021)","Accessories Factory fitted audio player, leather seats, reverse sensors, fog lamps, auto headlights, cruise control knockdown rear seats","Description Drive with assurance with 5-star reviews.1 owner unit, low mileage maintained by C&C since day 1. Well maintained interior and exterior. No repairs needed. View to believe! Beautiful condition in in the market with guaranteed in the market. Fully maintained and well taken care by owner. Excellent condition! Don't miss it, call to make an appointment today.",CategoryPARF Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
78,"$27,500","$14,120",06-Mar-2010,"133,324 km (10.2k /yr)","$1,271 /yr","$6,899","$17,708","1,799 cc","1,385 kg",2009,Auto,"$26,187","$26,187",103.0 kW (138 bhp),6,MPV,Features Reliable and powerful 1.8L 4 cylinders I-VTEC engine mated to a 5 speed automatic transmission. View specs of the Honda Stream (2007-2014),"Accessories Sports rims, retractable side mirror, leather seats, Android player.","Description Drive with assurance with 5 star reviews. No repairs needed, beautiful condition in in the market with guaranteed in the market. Fully maintained and well taken care by owner. Excellent condition! Don't miss it, call to make an appointment today.",CategoryCOE Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
79,"$148,800","$30,170",15-Sep-2015,"125,000 km (16.6k /yr)","$2,382 /yr","$103,955","$60,789","2,996 cc","1,935 kg",2015,Auto,"$97,869","$148,165",245.0 kW (328 bhp),3,Luxury Sedan,"Features The W222 exceptionally give a serene ride quality producing smooth V6 bi-turbo churning out 328bhp, seamless 9g-tronic give a effortless acceleration. View specs of the Mercedes-Benz S-Class (2013-2021)","Accessories Burmester Surround, MBUX, Car Play, Reverse Cam, Front/ Rear Electrical Seat, Ambient Interior,Keyless Go, 19' Rim, Side/Rear Blind, LED Lamp.","Description $0 downpayment available, Mercedes-Benz S-Class one of the finest cars in the world, it has everything all you need, spacious cabin interior boasts first-Class materials, highly sought polar white on black Nappa leather, service and maintained by reputable garage, we offer high trade in and in house loan flexibility, call us for serious viewing appointment.","CategoryPARF Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
80,"$67,800","$14,370",06-Apr-2017,"103,000 km (17.3k /yr)","$1,210 /yr","$34,196","$51,000","1,998 cc","1,535 kg",2017,Auto,"$19,727","$19,727",111.0 kW (148 bhp),1,MPV,"Features 2.0L DOHC SkyActiv-G engine, 6 speed auto transmission, airbags, ABS, Sunroof, 60L fuel tank. 15km/l fuel consumption. View specs of the Mazda 5 (2012-2018)","Accessories Sunroof, touch screen head unit, auto-door on both side, reverse camera, recording camera.","Description 1 owner only! 1 year warranty! 100% accident free! Very well taken care by previous owner, excellent exterior and interior condition! Multiple loan options available to suits your need, high trade in available! Hurry and call our friendly sales adviser for more information before it's sold! Best price guaranteed! Call us to arrange for viewing now!","CategoryPARF Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
81,"$177,800","$21,990",23-Dec-2019,"49,996 km (15.4k /yr)","$1,784 /yr","$68,350","$36,000","2,487 cc","1,620 kg",2019,Auto,"$47,664","$58,730",152.0 kW (203 bhp),1,Luxury Sedan,Features 2.5L 4 Cylinder DOHC VVT-iE Engine. 203bhp. 247nm. 8 Speed Auto Transmission. LED DRL/headlights. Ambient & Auto Head Light. Keyless Entry/start/stop. View specs of the Lexus ES 250 (2018),Accessories Panoramic Sunroof. 12.3 Digital Infotainment. Mark Levinson Sound System. Electric Tailgate. 360 Camera. Ventilated & Memory Electric Leather Seats.,"Description 100% Accident Free. 5years Warranty & Servicing By Agent Borneo Motors. Nice Carplate. Highest Spec With Panoramic Sunroof! Sleek Aerodynamic Design, Powerful & Smooth For Your Daily Drive. AA Trust Certified Quality Pre-owned Vehicle Comes With Immediate Loan Approval + Immediate Hand Over Within 24hrs Services. Trade In Welcome. Flexible Bank/in House/full Loan Available.","CategoryPARF Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
82,"$179,800","$20,380",11-Nov-2020,"26,971 km (11.4k /yr)","$1,784 /yr","$59,922","$30,890","2,487 cc","1,620 kg",2020,Auto,"$40,319","$48,447",152.0 kW (203 bhp),1,Luxury Sedan,Features Original Condition. View specs of the Lexus ES 250 (2018),Accessories Factory Fitted Interior.,"Description (Experience Refined Performance And Captivating Design!) The ES250 Executive Is Probably One Of The Best In Its Segment. With Its Bold Design, Top Notch Cabin Comfort And Outlook, Its Definitely Stand Out Among Its Competitor At A Justifiable Price. Enjoy 5 Years Agent (Borneo Motors) Warranty Coverage Till 10 Nov 2025. Price Listed Are Final Inclusive Of GST. STA Evaluation Services Supported.","CategoryPARF Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
83,"$138,800","$15,520",24-Feb-2021,"16,900 km (8.1k /yr)",$586 /yr,"$53,622","$37,766","1,332 cc","1,365 kg",2020,Auto,"$28,284","$31,598",96.0 kW (128 bhp),1,Hatchback,Features Original condition. View specs of the Mercedes-Benz A-Class Hatchback,Accessories Factory fitted interior.,Description Style edition! C&C unit. 1st owner car. Full agent service with track record since day one. 3 years ongoing agent warranty till (23 Feb 2024). Price listed are final inclusive of GST. Various auto financing option available at competitive rates. STA evaluation friendly for quality and assurance.,"CategoryPARF Car, Premium Ad Car, Low Mileage Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
84,"$263,688","$25,000",27-May-2022,"2,000 km","$1,210 /yr","$123,452","$98,890","1,998 cc","1,570 kg",2021,Auto,"$53,625","$68,525",225.0 kW (301 bhp),1,Sports Car,"Features BMW M performance 2.0L TwinPower turbo inline 4 cylinders engine at 301bhp/450nm torque, 8 speed (A), paddle shifter, xDrive system, parking assist. View specs of the BMW M235i Gran Coupe (2020)","Accessories M-Sport aerodynamic package brakes, variable sport steering, 18"" rims, electric memory seats. Navigation. Adaptive suspension. ACP/AA. Keyless entry.","Description BMW M management unit. 5 years BMW warranty and Service Inclusive Plus till May 2027, covers all parts except tyres. 0-100km/h in 4.8s. Sleek and Sporty black exterior with M-sport accessories. Come down to view this magnificent unit with your own eyes! We offer bank loan and in house loan with competitive rates. Please call our sales executive for non obligation viewing now!","CategoryPARF Car, Almost New Car, Low Mileage Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
85,"$111,800","$19,070",19-Jan-2018,"86,000 km (16.6k /yr)",$624 /yr,"$48,384","$42,661","1,395 cc","1,498 kg",2017,Auto,"$34,095","$39,733",110.0 kW (147 bhp),1,SUV,"Features Responsive 147bhp Turbocharged Engine, 250nm Torque, 6 Speed Gearbox, 0-100km/h In 9.2 Sec, Bluetooth, 8 Speakers, Cruise Control. View specs of the Volkswagen Tiguan (2017)","Accessories Electric Memory Seat, Knockdown Rear Seats, Rear Aircon, Electric Tailgate, Reverse Camera, Navigations, Full Digital Cluster, Panoramic Sunroof.",Description 1 Owner! Extremely Well Maintained And In Pristine Condition. 100% Accident Free Unit. Trade In Are Welcome! 2k Deposit. Flexible Loan Up To 100%! Bank/in House Loan Available To Tailor Your Financial Needs! Contact Our Friendly Sales Advisor For More Details/advise. View To Believe!,"CategoryPARF Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
86,"$115,800","$13,950",23-Jul-2020,"17,000 km (6.4k /yr)",$624 /yr,"$44,848","$33,520","1,395 cc","1,270 kg",2019,Auto,"$25,022","$27,031",92.0 kW (123 bhp),1,Hatchback,Features Volkswagen Golf Highline make distinctive hot hatch and responsive 123Bhp FWD mated well 7 speed DSG translating a refined and smooth daily drive. View specs of the Volkswagen Golf (2012-2021),"Accessories Panoromic roof, 8"" infotainment with CarPlay friendly, PDC reverse camera, keyless entry/start, LED lamp, knockdown seat, blind spot monitor mirror.","Description $0 Downpayment, Full loan available, Price Lowest!, offer wide range golf selection,The Mk7.5 Golf Highline being unique and most notable hatchback most suitable for all Golf lover, 1 owner upgrading, excellent condition with 5 years and recent service credit and warranty from VGS, 100% zero mishap, STA most welcome, offer high trade in and inhouse loan flexibility, call us now for serious viewing","CategoryPARF Car, Premium Ad Car, Low Mileage Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
87,"$108,800","$19,520",18-Aug-2017,"136,000 km (24.3k /yr)","$1,210 /yr","$55,694","$53,711","1,998 cc","1,620 kg",2017,Auto,"$38,430","$45,802",180.0 kW (241 bhp),1,Luxury Sedan,Features Powerful 2.0L four cylinders inline 16 valve DOHC twin scroll turbo charged engine. Auto transmission. 241bhp. View specs of the Lexus IS 300 (2016-2020),"Accessories Sports rims. Keyless entry. Reverse camera/sensors. HID head lamps, LCD display enabling Bluetooth connectivity. Park assist. Ventilated/power seats.","Description 1 careful owner. Efficiency, refinement and pulse raising performance! Nice number plate to go along! Flexible loan and insurance options, trade in or consign your current vehicle with us! Good car waits for nobody, call us today to arrange for a viewing!",CategoryPARF Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
88,"$114,800","$15,090",12-Jan-2011,"112,081 km (9.2k /yr)","$3,094 /yr","$29,076","$38,216","2,995 cc","2,250 kg",2010,Auto,"$70,590","$70,590",200.0 kW (268 bhp),4,SUV,"Features 3.0L V6 TFSI engine producing 268bhp, 400nm of torque. 8 speed Tiptronic transmission with paddle shifters. Quattro. 8 x airbags. View specs of the Audi Q7","Accessories Audi MMI, auto Bi-Xenon headlamps with DRL, multi-function steering wheel, electric memory seats, electric tailgate, reverse camera/sensors all round.","Description New 6 months road tax plus rebate! Low mileage clocked! Upgraded original sport brake's kit! Sheltered parking in condo carpark! Well maintained by previous meticulous owner with preventive maintenance! No wear and tear sign! Immaculate interior! Beautiful aesthetic and paintwork, no visible door dent or scratches! High loan available and trade in welcome! Call us now for test drive","CategoryCOE Car, Low Mileage Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
89,"$169,800","$25,290",29-Oct-2018,"52,779 km (12k /yr)","$1,210 /yr","$59,761","$31,302","1,998 cc","1,720 kg",2018,Auto,"$45,935","$56,309",135.0 kW (181 bhp),2,SUV,Features Original Condition. View specs of the BMW X4 (2018-2022),Accessories Factory Fitted Interior.,"Description (Perhaps One Of The Best In Its Segment!) Modern Sophisto Grey Brilliant With Sensatec Perforated Cognac Upholstery. This Unit Is Fully Maintain By Agent (PML) Since Day One, Supported By 5 Years Ongoing Agent Warranty Coverage Till (28 Oct 2023). Purchase & Enjoy Flexible & Various Auto Financing Package At Competitive Rates. Price Listed Are Final Inclusive Of GST. STA Evaluation Friendly Unit.","CategoryPARF Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
90,"$88,800","$17,390",15-May-2017,"110,000 km (18.8k /yr)",$624 /yr,"$46,057","$54,406","1,395 cc","1,480 kg",2017,Auto,"$29,729","$33,621",110.0 kW (147 bhp),2,SUV,"Features Efficient 1.4L turbocharged engine, 7 speed S-tronic transmission, Audi drive select, cruise control, multi function carbon steering wheel. View specs of the Audi Q3 (2012-2018)","Accessories Audi MMI, driver electric seat, leather interior, dual climate control, electric tailgate, sport rims, Brembo Brakes.","Description 100% accident free! 1 year warranty! New Paintwork! Multiple Loan Options available to suits your need, high trade in available! Hurry and call our friendly sales adviser for more information before it's sold! Best price guaranteed! Pristine and showroom condition! Well taken care by careful owner! What are you waiting for? Call us to arrange for viewing now!","CategoryPARF Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
91,"$37,888",N.A.,28-Jun-2013,"66,000 km (6.8k /yr)","$1,202 /yr","$25,166","$61,700","1,991 cc","1,655 kg",2013,Auto,"$42,967","$47,154",135.0 kW (181 bhp),2,Luxury Sedan,"Features 2.0L Turbocharged Engine, 181BHP, 7G-Tronic Automatic Gearbox, Fuel Consumption Up To 15.8 Km/l, Cruise Control, Airbags, ABS, ESP, Rear Aircon. View specs of the Mercedes-Benz E-Class Saloon (2013-2016)",Accessories Keyless Entry/Start Package. Multi-Function Steering Wheel. Memory Seats. Auto Rain Sensors. Auto Folding Side Mirrors. Front Parktronic System.,Description Rare Mercedes-Benz E-Class E200 Exclusive Unit! Owner's 2nd Vehicle! Seldom Used! Accident Free! Interior Like New! Steering Wheel Like New! Still Got New Car Scent! Very Well Taken Care Of! Look At The Photo! Previously C&C Serviced Before COVID! Super Quite And Smooth Engine! No Vibration/Jerking At All Even When Engaging Gear! Best Condition For COE Renewal! No Low ballers Please!,"CategoryPARF Car, Direct Owner Sale, Low Mileage Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
92,"$77,000","$16,780",26-Oct-2016,"43,200 km (6.7k /yr)","$1,210 /yr","$41,743","$55,501","1,997 cc","1,530 kg",2016,Auto,"$29,696","$33,575",114.0 kW (152 bhp),2,Luxury Sedan,"Features i-vtec engine, 5speed auto, 4ABS disc brakes, keyless push start/stop, dual zone auto aircon, blind spot camera, 2 front electric leather seats, View specs of the Honda Accord (2013-2017)","Accessories auto headlights/wipers, retractable wing mirrors, blue tooth, DSC, 17 inch alloy rims, cruise control,","Description Very low mileage at 43200 travel only 6600kms / year. Priced to sell, Lowest price in the market. Dealers are welcome. Hire Purchase Loan is arrangeable.","CategoryPARF Car, Direct Owner Sale, Low Mileage Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
93,"$77,777","$15,610",29-Sep-2017,"52,554 km (9.6k /yr)",$508 /yr,"$29,556","$42,900","1,198 cc","1,175 kg",2017,Auto,"$23,251","$14,552",75.0 kW (100 bhp),2,Hatchback,Features Original Condition. View specs of the MINI One,Accessories Factory Fitted Interior.,"Description (Where Lifestyle & Practicability Equally Matter!) Best Selling 5 Door Unit In One Of Mini, Signature British Racing Green In Colour. Vehicle Is Fully Maintain By Agent (Eurokars) Supported By Ongoing Pre-Paid Servicing Till (28 Sep 2024). Price Listed Are Final Inclusive Of GST. Various Auto Financing Option Available At Competitive Rates. STA Evaluation Friendly For Quality & Assurance.","CategoryPARF Car, Premium Ad Car, Low Mileage Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
94,"$89,988","$14,720",08-Jun-2018,"96,000 km (20k /yr)",$392 /yr,"$38,918","$36,426",999 cc,"1,280 kg",2018,Auto,"$24,711","$26,596",85.0 kW (113 bhp),1,Luxury Sedan,"Features Responsive 1.0L 3 cylinder inline 12 valve turbocharged, 7 speed (A) S-tronic, 114bhp, paddle shifters, multi steering control, driver electric seat. View specs of the Audi A3 Sedan (2014-2021)","Accessories Leather upholstery, keyless ignition, Bluetooth, LED/auto headlights, knockdown rear seats, reverse cameras, retractable side mirrors & paddle shifter","Description Rare 1 Owner, Elegance Pearl White unit. low mileage, accident free, showroom condition. SGCM premium dealer 2022/23. $0 downpayment/low interest rate/flexible loan scheme with high approval rate! High trade in for your used vehicle. Buy with a peace of mind, STA evaluation upon request. Kindly contact us for a non obligatory discussion.","CategoryPARF Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
95,"$178,800","$16,450",03-Oct-2022,"4,348 km",$684 /yr,"$120,406","$114,001","1,499 cc","1,435 kg",2022,Auto,"$37,122","$43,971",100.0 kW (134 bhp),1,SUV,Features Original condition.,Accessories Factory fitted interior.,"Description One of the best selling SUV in its Class! Modern & sporty looking black sapphire x-line. Vehicle on the road ready with 200,000km (Performance Motors) warranty coverage, BMW in car record & v-cool solar film. Price listed are final inclusive of GST. Various auto financing option available at competitive rates. STA evaluation friendly unit.","CategoryPARF Car, Almost New Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
96,"$88,800","$13,060",09-Apr-2019,"68,000 km (17.2k /yr)",$624 /yr,"$32,404","$29,159","1,395 cc","1,270 kg",2019,Auto,"$19,708","$19,708",92.0 kW (123 bhp),1,Hatchback,"Features Powerful 1.4L Turbocharged TSI Engine Producing 123bhp, 200nm Torque, Mated To A 7 Speed DSG. Cruise Control, Multi Function Steering. View specs of the Volkswagen Golf","Accessories 17"" Sport Rims, Apple CarPlay, Audio System, Leather Seats, Auto Retractable Side Mirrors, Multi Function Steering Wheel, Rear Knockdown Seats.","Description Full Agent Serviced With 5 Years Agent Warranty. $0 Downpayment. Available. Most Popular Hatch Back In The Market. Low Fuel Consumption. The Exterior Has Evolved To Include A Leaner Front Grille And Narrow LED Headlights For A Clean, Contemporary Look, Imposing Bumper For A More Dynamic Look And Responsive Performance. Call Us Now For Viewing.",CategoryPARF Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
